Source	Paper	sp_id	sp	ecological	type	significance	
1	Stanfield.etal_FisheryManagement_2013	1	6 common fish	yes	spatial	yes	
2	Kaltz.etal_EcolProcesses_2012	1	overall				
2	Kaltz.etal_EcolProcesses_2012	2	KB				
2	Kaltz.etal_EcolProcesses_2012	3	rif				
2	Kaltz.etal_EcolProcesses_2012	4	ancestor				
2	Kaltz.etal_EcolProcesses_2012	5	control				
2	Kaltz.etal_EcolProcesses_2012	6	rif				
2	Kaltz.etal_EcolProcesses_2012	7	phage				
2	Kaltz.etal_EcolProcesses_2012	8	phage_rif				
2	Kaltz.etal_EcolProcesses_2012	9	mutS_s				
2	Kaltz.etal_EcolProcesses_2012	10	mutS_r				
2	Kaltz.etal_EcolProcesses_2012	11	WT_s				
2	Kaltz.etal_EcolProcesses_2012	12	WT_r				
2	Kaltz.etal_EcolProcesses_2012	13	r				
2	Kaltz.etal_EcolProcesses_2012	14	s				
2	Kaltz.etal_EcolProcesses_2012	15	mutS				
2	Kaltz.etal_EcolProcesses_2012	16	WT				
3	Karban.etal_Ecology_2012	1	wet	yes 	temporal	unsure	
3	Karban.etal_Ecology_2012	2	dry	yes	temporal	unsure	
4	Hui.etal_Basic&AppliedEcol_2012	1	epigaeic arthropods	yes	spatial	yes	
4	Hui.etal_Basic&AppliedEcol_2012	2	stream macroinvertebrates	yes	spatial	yes	
5	Thein&Singh_IRRN_2011	1	sample 1	yes	spatial	yes	
5	Thein&Singh_IRRN_2011	2	sample 2	yes	spatial	yes	
5	Thein&Singh_IRRN_2011	3	sample 3	yes	spatial	yes	
7	Costa.etal_SciAgric_2010	1	area 1 adult	yes	spatial	yes	
7	Costa.etal_SciAgric_2010	2	area 2 adult	yes	spatial	yes	
7	Costa.etal_SciAgric_2010	3	area 1 nymph	yes	spatial	yes	
7	Costa.etal_SciAgric_2010	4	area 2 nymph	yes	spatial	yes	
8	Aminayanaba_JASR_2010	1	large				
8	Aminayanaba_JASR_2010	2	small				
9	Williams.etal_JMedicalEnto_2007	1	per day	error			
9	Williams.etal_JMedicalEnto_2007	2	per tray	error			
10	Lessio&Alma_JEcoEnto_2006	1	S.titanus	yes	spatial	yes	
12	Nachman_ExpAppAcarology_2006	1	T.urticae				
12	Nachman_ExpAppAcarology_2006	2	P.persimilis				
11	Sallam.etal_BioControl_2007	1	depth 1				
11	Sallam.etal_BioControl_2007	2	depth 2				
11	Sallam.etal_BioControl_2007	3	depth 3				
11	Sallam.etal_BioControl_2007	4	depth 4				
13	McMahon.etal_MammalRev_2005	1	M.leonina				
14	Sileshi&Mafongoya_ICRAF_2004	1	Diaecoderus spp.	yes	spatial	yes	
15	Clarke.etal_FreshwaterBiol_2002	1	S3	yes	spatial	yes	
16	Silva.etal_EnvEnto_2003	1	P.unipuncta	yes	spatial	yes	
17	Parker.etal_TurkJAricFor_2002	1	tot1	yes	spatial	yes	
17	Parker.etal_TurkJAricFor_2002	2	tot2	yes	spatial	yes	
17	Parker.etal_TurkJAricFor_2002	3	tot3	yes	spatial	yes	
17	Parker.etal_TurkJAricFor_2002	4	tot4	yes	spatial	yes	
17	Parker.etal_TurkJAricFor_2002	5	live1	yes	spatial	yes	
17	Parker.etal_TurkJAricFor_2002	6	live2	yes	spatial	yes	
17	Parker.etal_TurkJAricFor_2002	7	live3	yes	spatial	yes	
17	Parker.etal_TurkJAricFor_2002	8	live4	yes	spatial	yes	
18	Jimenez.etal_AppliedSoilEcol_2001	1	savanna Andiodrilus sp.	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	2	savanna Aymara sp.	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	3	savanna Glossodrilus sp.	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	4	savanna M.carimaguensis	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	5	savanna Ocnerodrilidae sp.	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	6	pasture Andiodrilus sp.	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	7	pasture Andiorrhinus sp.	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	8	pasture Aymara sp.	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	9	pasture Glossodrilus sp.	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	10	pasture M.carimaguensis	yes	spatial	no	
18	Jimenez.etal_AppliedSoilEcol_2001	11	pasture Ocnerodrilidae sp.	yes	spatial	no	
19	Floater_EcolMono_2001	1	1993	yes	spatial	yes	
19	Floater_EcolMono_2001	2	1994	yes	spatial	yes	
20	Schexnayder.etal_JEcoEnto_2001	1	D.saccharalis-infested stalks	yes	spatial	yes	
21	Eleutheriadis&Lazaridou-dimitriadou_JMollusStud_2001	1	33.5	yes	spatial	unsure	
21	Eleutheriadis&Lazaridou-dimitriadou_JMollusStud_2001	2	32.5	yes	spatial	unsure	
22	Kendal.etal_Clinical&ExpMetastasis_2000	1	metastasis				
23	Babineau_Thesis_2000	1	1994 survey	yes	spatial	unsure	
24	Staikou_JMollStud_1998	1	Capaea vindobonensis	yes	spatial	unsure	
25	Pahl_Biometrics_1969	1	Paropsis atomaria	yes	spatial	unsure	
26	Todd_JAniEcol_1978	1	Onchidoris muricata	yes	spatial	unsure	
27	Buzas_Ecology_1970	1	Ammonia beccarii	yes	spatial	unsure	
27	Buzas_Ecology_1970	2	Elphidium clavatum	yes	spatial	unsure	
27	Buzas_Ecology_1970	3	Elphidium tisburyensis	yes	spatial	unsure	
27	Buzas_Ecology_1970	4	Elphidium sp.	yes	spatial	unsure	
28	Crawley&Weiner_JAppliedEcol_1991	1	shoot weight January	yes	spatial	yes	weight
28	Crawley&Weiner_JAppliedEcol_1991	2	shoot weight May	yes	spatial	yes	weight
28	Crawley&Weiner_JAppliedEcol_1991	3	shoot weight August	yes	spatial	unsure	weight
29	vanDamme&Hamerlynck_JFishBiol_1992	1	fish				
30	Warren&Linit_Jnematology_1992	1	B.xylophilus on beetle-infested pine 	yes	spatial	yes	
30	Warren&Linit_Jnematology_1992	2	B.xylophilus on noninfested pine 	yes	spatial	yes	
31	Rosewell.etal_JAniEcol_1990	1	field experiments	yes	spatial	yes	
31	Rosewell.etal_JAniEcol_1990	2	lab experiments	yes	spatial	yes	
31	Rosewell.etal_JAniEcol_1990	3	British fungi	yes	spatial	yes	
31	Rosewell.etal_JAniEcol_1990	4	natural egg distribution	yes	spatial	yes	
31	Rosewell.etal_JAniEcol_1990	5	Australian fruit	yes	spatial	yes	
32	Samways_Oecologia_1990	1	ants	yes	temporal	unsure	
32	Samways_Oecologia_1990	2	Pheidole megacephala	yes	temporal	unsure	
33	Brattery_JParasitology_1986	1	Acanthocephalus lucii	yes	spatial	yes	
34	Wheeler.etal_Jnematology_1987	1	sampling occasion A	yes	spatial	yes	
34	Wheeler.etal_Jnematology_1987	2	sampling occasion B	yes	spatial	yes	
34	Wheeler.etal_Jnematology_1987	3	sampling occasion C	yes	spatial	no	
34	Wheeler.etal_Jnematology_1987	4	sampling occasion D	yes	spatial	yes	
35	Purrington.etal_GreatLakesEnto_1989	1	Otiorhnchus ligustici	yes	spatial	unsure	
36	He&Gaston_AmNat_2003	1	benthic species	yes	spatial	yes	
36	He&Gaston_AmNat_2003	2	striped ambrosia beetle	yes	spatial	yes	
37	Dickonson_birds	1	birds	yes	temporal		
38	EasternWood_birds	1	birds	yes	temporal		
39	HubbardBrook_LTER_birds	1	hb_bird	yes	temporal		
39	HubbardBrook_LTER_birds	2	mk_bird	yes	temporal		
39	HubbardBrook_LTER_birds	3	rp_bird	yes	temporal		
39	HubbardBrook_LTER_birds	4	sm_bird	yes	temporal		
